epoch,accuracy,loss
0,0.5544642806053162,0.689601480960846
1,0.6642857193946838,0.6782839894294739
2,0.7366071343421936,0.6674439311027527
3,0.7562500238418579,0.656440258026123
4,0.7767857313156128,0.6440465450286865
5,0.8008928298950195,0.6336585283279419
6,0.8142856955528259,0.6205013990402222
7,0.8366071581840515,0.6110188364982605
8,0.824999988079071,0.6009700894355774
9,0.8303571343421936,0.5899605751037598
10,0.8410714268684387,0.5748577117919922
11,0.8428571224212646,0.5654904842376709
12,0.8500000238418579,0.5436825752258301
13,0.8500000238418579,0.5375686883926392
14,0.856249988079071,0.5278770923614502
15,0.8669642806053162,0.5094677805900574
16,0.8767856955528259,0.4942459166049957
17,0.8741071224212646,0.48401015996932983
18,0.8687499761581421,0.4757522642612457
